Num_Acc,col,grav
201600000072,Autre collision,Indemne
201600000072,Autre collision,Blessé hospitalisé
201600000073,Deux véhicules - par le côté,Indemne
201600000073,Deux véhicules - par le côté,Blessé hospitalisé
201600000073,Deux véhicules - par le côté,Indemne
201600000074,Autre collision,Tué
201600000075,Deux véhicules - frontale,Blessé hospitalisé
201600000075,Deux véhicules - frontale,Blessé léger
201600000076,Deux véhicules - par l'arrière,Indemne
201600000076,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000077,Deux véhicules - par le côté,Blessé hospitalisé
201600000077,Deux véhicules - par le côté,Indemne
201600000078,Sans collision,Tué
201600000078,Sans collision,Blessé hospitalisé
201600000078,Sans collision,Blessé léger
201600000078,Sans collision,Blessé léger
201600000078,Sans collision,Blessé léger
201600000079,Autre collision,Blessé hospitalisé
201600000080,Autre collision,Indemne
201600000080,Autre collision,Indemne
201600000080,Autre collision,Blessé hospitalisé
201600000081,Deux véhicules - par le côté,Indemne
201600000081,Deux véhicules - par le côté,Blessé hospitalisé
201600000082,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000082,Trois véhicules et plus - collisions multiples,Indemne
201600000082,Trois véhicules et plus - collisions multiples,Indemne
201600000083,Deux véhicules - par le côté,Blessé hospitalisé
201600000083,Deux véhicules - par le côté,Indemne
201600000084,Deux véhicules - par l'arrière,Indemne
201600000084,Deux véhicules - par l'arrière,Blessé léger
201600000085,Autre collision,Blessé hospitalisé
201600000086,Autre collision,Blessé hospitalisé
201600000087,Deux véhicules - par l'arrière,Indemne
201600000087,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000088,Deux véhicules - par le côté,Indemne
201600000088,Deux véhicules - par le côté,Blessé hospitalisé
201600000088,Deux véhicules - par le côté,Blessé hospitalisé
201600000089,Deux véhicules - frontale,Indemne
201600000089,Deux véhicules - frontale,Blessé hospitalisé
201600000090,Autre collision,Blessé hospitalisé
201600000091,Sans collision,Blessé hospitalisé
201600000092,Autre collision,Blessé hospitalisé
201600000092,Autre collision,Blessé léger
201600000093,Autre collision,Tué
201600000094,Deux véhicules - par le côté,Blessé hospitalisé
201600000094,Deux véhicules - par le côté,Indemne
201600000095,Deux véhicules - frontale,Indemne
201600000095,Deux véhicules - frontale,Indemne
201600000095,Deux véhicules - frontale,Tué
201600000095,Deux véhicules - frontale,Blessé hospitalisé
201600000096,Deux véhicules - par le côté,Indemne
201600000096,Deux véhicules - par le côté,Blessé hospitalisé
201600000096,Deux véhicules - par le côté,Blessé hospitalisé
201600000096,Deux véhicules - par le côté,Indemne
201600000097,Autre collision,Indemne
201600000097,Autre collision,Blessé hospitalisé
201600000098,Deux véhicules - frontale,Indemne
201600000098,Deux véhicules - frontale,Blessé hospitalisé
201600000098,Deux véhicules - frontale,Indemne
201600000099,Autre collision,Tué
201600000099,Autre collision,Tué
201600000100,Autre collision,Blessé léger
201600000101,Trois véhicules et plus - collisions multiples,Blessé léger
201600000101,Trois véhicules et plus - collisions multiples,Blessé léger
201600000101,Trois véhicules et plus - collisions multiples,Blessé léger
201600000102,Deux véhicules - frontale,Blessé hospitalisé
201600000102,Deux véhicules - frontale,Indemne
201600000103,Sans collision,Blessé hospitalisé
201600000104,Deux véhicules - frontale,Indemne
201600000104,Deux véhicules - frontale,Blessé hospitalisé
201600000105,Sans collision,Blessé hospitalisé
201600000106,Autre collision,Indemne
201600000106,Autre collision,Blessé hospitalisé
201600000107,Sans collision,Indemne
201600000107,Sans collision,Blessé hospitalisé
201600000108,Deux véhicules - par le côté,Blessé hospitalisé
201600000108,Deux véhicules - par le côté,Blessé hospitalisé
201600000108,Deux véhicules - par le côté,Indemne
201600000109,Deux véhicules - frontale,Indemne
201600000109,Deux véhicules - frontale,Blessé hospitalisé
201600000109,Deux véhicules - frontale,Indemne
201600000110,Autre collision,Blessé léger
201600000111,Autre collision,Indemne
201600000111,Autre collision,Indemne
201600000111,Autre collision,Indemne
201600000111,Autre collision,Indemne
201600000111,Autre collision,Indemne
201600000111,Autre collision,Tué
201600000112,Sans collision,Indemne
201600000112,Sans collision,Indemne
201600000112,Sans collision,Blessé léger
201600000113,Autre collision,Blessé léger
201600000114,Deux véhicules - par le côté,Blessé léger
201600000114,Deux véhicules - par le côté,Indemne
201600000115,Sans collision,Blessé léger
201600000116,Autre collision,Blessé léger
201600000117,Autre collision,Indemne
201600000117,Autre collision,Indemne
201600000117,Autre collision,Indemne
201600000117,Autre collision,Indemne
201600000117,Autre collision,Blessé hospitalisé
201600000118,Autre collision,Tué
201600000119,Deux véhicules - frontale,Indemne
201600000119,Deux véhicules - frontale,Tué
201600000119,Deux véhicules - frontale,Blessé hospitalisé
201600000119,Deux véhicules - frontale,Blessé hospitalisé
201600000120,Deux véhicules - frontale,Indemne
201600000120,Deux véhicules - frontale,Tué
201600000121,Sans collision,Blessé hospitalisé
201600000122,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000122,Trois véhicules et plus - collisions multiples,Indemne
201600000122,Trois véhicules et plus - collisions multiples,Blessé léger
201600000123,Autre collision,Blessé hospitalisé
201600000124,Deux véhicules - frontale,Indemne
201600000124,Deux véhicules - frontale,Blessé hospitalisé
201600000125,Autre collision,Blessé hospitalisé
201600000126,Deux véhicules - par le côté,Tué
201600000126,Deux véhicules - par le côté,Blessé hospitalisé
201600000127,Deux véhicules - frontale,Blessé hospitalisé
201600000127,Deux véhicules - frontale,Blessé hospitalisé
201600000127,Deux véhicules - frontale,Blessé hospitalisé
201600000127,Deux véhicules - frontale,Blessé hospitalisé
201600000128,Autre collision,Blessé hospitalisé
201600000129,Autre collision,Indemne
201600000129,Autre collision,Indemne
201600000129,Autre collision,Tué
201600000130,Deux véhicules - par le côté,Blessé hospitalisé
201600000130,Deux véhicules - par le côté,Indemne
201600000131,Autre collision,Indemne
201600000131,Autre collision,Blessé hospitalisé
201600000131,Autre collision,Blessé léger
201600000132,Deux véhicules - par le côté,Blessé hospitalisé
201600000132,Deux véhicules - par le côté,Indemne
201600000133,Autre collision,Tué
201600000134,Autre collision,Indemne
201600000134,Autre collision,Indemne
201600000134,Autre collision,Indemne
201600000134,Autre collision,Indemne
201600000134,Autre collision,Blessé hospitalisé
201600000135,Deux véhicules - frontale,Indemne
201600000135,Deux véhicules - frontale,Blessé hospitalisé
201600000136,Autre collision,Indemne
201600000136,Autre collision,Blessé hospitalisé
201600000137,Autre collision,Tué
201600000138,Deux véhicules - par le côté,Blessé hospitalisé
201600000138,Deux véhicules - par le côté,Indemne
201600000139,Deux véhicules - frontale,Indemne
201600000139,Deux véhicules - frontale,Blessé hospitalisé
201600000140,Autre collision,Tué
201600000141,Autre collision,Indemne
201600000141,Autre collision,Blessé hospitalisé
201600000142,Sans collision,Blessé hospitalisé
201600000143,Autre collision,Blessé hospitalisé
201600000144,Autre collision,Blessé hospitalisé
201600000145,Deux véhicules - frontale,Indemne
201600000145,Deux véhicules - frontale,Blessé hospitalisé
201600000146,Deux véhicules - par le côté,Indemne
201600000146,Deux véhicules - par le côté,Blessé hospitalisé
201600000146,Deux véhicules - par le côté,Blessé hospitalisé
201600000147,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000147,Deux véhicules - par l'arrière,Indemne
201600000148,Autre collision,Indemne
201600000148,Autre collision,Blessé hospitalisé
201600000149,Deux véhicules - frontale,Blessé hospitalisé
201600000149,Deux véhicules - frontale,Indemne
201600000150,Sans collision,Blessé hospitalisé
201600000151,Autre collision,Indemne
201600000151,Autre collision,Blessé hospitalisé
201600000152,Autre collision,Indemne
201600000152,Autre collision,Blessé hospitalisé
201600000153,Autre collision,Blessé hospitalisé
201600000154,Sans collision,Blessé hospitalisé
201600000155,Autre collision,Tué
201600000156,Deux véhicules - par le côté,Indemne
201600000156,Deux véhicules - par le côté,Blessé hospitalisé
201600000157,Deux véhicules - frontale,Indemne
201600000157,Deux véhicules - frontale,Blessé hospitalisé
201600000158,Sans collision,Blessé hospitalisé
201600000159,Deux véhicules - par le côté,Indemne
201600000159,Deux véhicules - par le côté,Blessé hospitalisé
201600000160,Autre collision,Indemne
201600000160,Autre collision,Blessé hospitalisé
201600000161,Deux véhicules - par l'arrière,Indemne
201600000161,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000162,Autre collision,Indemne
201600000162,Autre collision,Tué
201600000163,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000163,Trois véhicules et plus - en chaîne,Indemne
201600000163,Trois véhicules et plus - en chaîne,Indemne
201600000164,Deux véhicules - frontale,Tué
201600000164,Deux véhicules - frontale,Indemne
201600000165,Autre collision,Indemne
201600000165,Autre collision,Blessé hospitalisé
201600000166,Deux véhicules - par l'arrière,Indemne
201600000166,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000167,Deux véhicules - par le côté,Blessé hospitalisé
201600000167,Deux véhicules - par le côté,Indemne
201600000168,Autre collision,Indemne
201600000168,Autre collision,Blessé hospitalisé
201600000168,Autre collision,Blessé hospitalisé
201600000169,Deux véhicules - frontale,Blessé hospitalisé
201600000169,Deux véhicules - frontale,Indemne
201600000170,Autre collision,Indemne
201600000170,Autre collision,Blessé hospitalisé
201600000171,Deux véhicules - frontale,Indemne
201600000171,Deux véhicules - frontale,Blessé hospitalisé
201600000172,Sans collision,Blessé hospitalisé
201600000173,Sans collision,Blessé hospitalisé
201600000174,Deux véhicules - frontale,Blessé hospitalisé
201600000174,Deux véhicules - frontale,Indemne
201600000175,Trois véhicules et plus - collisions multiples,Tué
201600000175,Trois véhicules et plus - collisions multiples,Indemne
201600000175,Trois véhicules et plus - collisions multiples,Indemne
201600000176,Sans collision,Blessé hospitalisé
201600000177,Autre collision,Blessé hospitalisé
201600000178,Sans collision,Tué
201600000179,Sans collision,Tué
201600000180,Sans collision,Blessé hospitalisé
201600000181,Autre collision,Tué
201600000182,Deux véhicules - frontale,Blessé hospitalisé
201600000182,Deux véhicules - frontale,Blessé hospitalisé
201600000182,Deux véhicules - frontale,Blessé léger
201600000183,Trois véhicules et plus - en chaîne,Indemne
201600000183,Trois véhicules et plus - en chaîne,Indemne
201600000183,Trois véhicules et plus - en chaîne,Tué
201600000184,Autre collision,Indemne
201600000184,Autre collision,Blessé hospitalisé
201600000185,Sans collision,Blessé hospitalisé
201600000185,Sans collision,Blessé hospitalisé
201600000186,Deux véhicules - par le côté,Blessé léger
201600000186,Deux véhicules - par le côté,Tué
201600000187,Autre collision,Indemne
201600000187,Autre collision,Blessé hospitalisé
201600000188,Sans collision,Blessé hospitalisé
201600000189,Trois véhicules et plus - collisions multiples,Indemne
201600000189,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000189,Trois véhicules et plus - collisions multiples,Indemne
201600000189,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000190,Deux véhicules - frontale,Tué
201600000190,Deux véhicules - frontale,Indemne
201600000191,Autre collision,Tué
201600000192,Deux véhicules - frontale,Blessé hospitalisé
201600000192,Deux véhicules - frontale,Tué
201600000193,Deux véhicules - frontale,Tué
201600000193,Deux véhicules - frontale,Blessé hospitalisé
201600000193,Deux véhicules - frontale,Blessé hospitalisé
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé léger
201600000193,Deux véhicules - frontale,Blessé hospitalisé
201600000194,Trois véhicules et plus - en chaîne,Indemne
201600000194,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000194,Trois véhicules et plus - en chaîne,Blessé léger
201600000195,Autre collision,Blessé hospitalisé
201600000196,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000196,Deux véhicules - par l'arrière,Indemne
201600000196,Deux véhicules - par l'arrière,Indemne
201600000196,Deux véhicules - par l'arrière,Indemne
201600000196,Deux véhicules - par l'arrière,Indemne
201600000197,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000197,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000197,Deux véhicules - par l'arrière,Indemne
201600000197,Deux véhicules - par l'arrière,Indemne
201600000198,Trois véhicules et plus - en chaîne,Indemne
201600000198,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000198,Trois véhicules et plus - en chaîne,Tué
201600000198,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000198,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000198,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000198,Trois véhicules et plus - en chaîne,Indemne
201600000199,Autre collision,Blessé hospitalisé
201600000200,Deux véhicules - par le côté,Blessé hospitalisé
201600000200,Deux véhicules - par le côté,Blessé hospitalisé
201600000200,Deux véhicules - par le côté,Blessé léger
201600000201,Deux véhicules - par l'arrière,Indemne
201600000201,Deux véhicules - par l'arrière,Blessé léger
201600000201,Deux véhicules - par l'arrière,Blessé léger
201600000202,Deux véhicules - par l'arrière,Indemne
201600000202,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000202,Deux véhicules - par l'arrière,Blessé léger
201600000203,Deux véhicules - par le côté,Blessé hospitalisé
201600000203,Deux véhicules - par le côté,Blessé hospitalisé
201600000204,Deux véhicules - frontale,Blessé hospitalisé
201600000204,Deux véhicules - frontale,Blessé hospitalisé
201600000204,Deux véhicules - frontale,Indemne
201600000204,Deux véhicules - frontale,Indemne
201600000205,Deux véhicules - par le côté,Blessé léger
201600000205,Deux véhicules - par le côté,Indemne
201600000206,Deux véhicules - par le côté,Blessé hospitalisé
201600000206,Deux véhicules - par le côté,Indemne
201600000206,Deux véhicules - par le côté,Indemne
201600000207,Deux véhicules - par le côté,Blessé hospitalisé
201600000207,Deux véhicules - par le côté,Indemne
201600000208,Deux véhicules - par le côté,Indemne
201600000208,Deux véhicules - par le côté,Tué
201600000209,Autre collision,Blessé léger
201600000210,Sans collision,Tué
201600000211,Sans collision,Blessé léger
201600000212,Autre collision,Blessé hospitalisé
201600000213,Autre collision,Indemne
201600000213,Autre collision,Blessé hospitalisé
201600000214,Deux véhicules - par le côté,Blessé hospitalisé
201600000214,Deux véhicules - par le côté,Indemne
201600000215,Deux véhicules - par le côté,Blessé hospitalisé
201600000215,Deux véhicules - par le côté,Blessé léger
201600000215,Deux véhicules - par le côté,Blessé léger
201600000215,Deux véhicules - par le côté,Blessé léger
201600000216,Autre collision,Indemne
201600000216,Autre collision,Indemne
201600000216,Autre collision,Blessé hospitalisé
201600000216,Autre collision,Indemne
201600000217,Autre collision,Tué
201600000218,Sans collision,Tué
201600000219,Sans collision,Blessé hospitalisé
201600000220,Sans collision,Indemne
201600000220,Sans collision,Blessé hospitalisé
201600000221,Deux véhicules - frontale,Blessé hospitalisé
201600000221,Deux véhicules - frontale,Indemne
201600000222,Autre collision,Indemne
201600000222,Autre collision,Blessé hospitalisé
201600000223,Autre collision,Blessé hospitalisé
201600000223,Autre collision,Blessé hospitalisé
201600000224,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000224,Trois véhicules et plus - collisions multiples,Tué
201600000224,Trois véhicules et plus - collisions multiples,Indemne
201600000225,Sans collision,Blessé hospitalisé
201600000226,Autre collision,Blessé hospitalisé
201600000227,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000227,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000227,Deux véhicules - par l'arrière,Indemne
201600000228,Deux véhicules - frontale,Blessé léger
201600000228,Deux véhicules - frontale,Indemne
201600000228,Deux véhicules - frontale,Indemne
201600000229,Deux véhicules - frontale,Indemne
201600000229,Deux véhicules - frontale,Blessé hospitalisé
201600000230,Autre collision,Blessé hospitalisé
201600000230,Autre collision,Blessé léger
201600000230,Autre collision,Blessé léger
201600000231,Deux véhicules - par le côté,Indemne
201600000231,Deux véhicules - par le côté,Blessé hospitalisé
201600000232,Deux véhicules - par l'arrière,Indemne
201600000232,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000233,Deux véhicules - par l'arrière,Indemne
201600000233,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000234,Autre collision,Blessé hospitalisé
201600000235,Deux véhicules - frontale,Blessé hospitalisé
201600000235,Deux véhicules - frontale,Blessé hospitalisé
201600000236,Deux véhicules - frontale,Blessé hospitalisé
201600000236,Deux véhicules - frontale,Indemne
201600000237,Autre collision,Blessé hospitalisé
201600000237,Autre collision,Blessé hospitalisé
201600000238,Deux véhicules - frontale,Tué
201600000238,Deux véhicules - frontale,Blessé léger
201600000238,Deux véhicules - frontale,Blessé léger
201600000239,Autre collision,Tué
201600000239,Autre collision,Blessé léger
201600000240,Trois véhicules et plus - en chaîne,Indemne
201600000240,Trois véhicules et plus - en chaîne,Indemne
201600000240,Trois véhicules et plus - en chaîne,Indemne
201600000240,Trois véhicules et plus - en chaîne,Blessé léger
201600000241,Deux véhicules - frontale,Tué
201600000241,Deux véhicules - frontale,Indemne
201600000242,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000242,Deux véhicules - par l'arrière,Indemne
201600000243,Autre collision,Blessé léger
201600000244,Autre collision,Blessé hospitalisé
201600000244,Autre collision,Blessé hospitalisé
201600000244,Autre collision,Blessé léger
201600000245,Deux véhicules - frontale,Blessé hospitalisé
201600000245,Deux véhicules - frontale,Blessé hospitalisé
201600000245,Deux véhicules - frontale,Blessé hospitalisé
201600000245,Deux véhicules - frontale,Blessé léger
201600000246,Deux véhicules - par le côté,Blessé hospitalisé
201600000246,Deux véhicules - par le côté,Blessé léger
201600000247,Autre collision,Indemne
201600000247,Autre collision,Blessé hospitalisé
201600000247,Autre collision,Blessé hospitalisé
201600000248,Sans collision,Blessé léger
201600000249,Trois véhicules et plus - en chaîne,Indemne
201600000249,Trois véhicules et plus - en chaîne,Indemne
201600000249,Trois véhicules et plus - en chaîne,Indemne
201600000249,Trois véhicules et plus - en chaîne,Tué
201600000249,Trois véhicules et plus - en chaîne,Tué
201600000249,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000249,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000249,Trois véhicules et plus - en chaîne,Blessé hospitalisé
201600000250,Deux véhicules - par l'arrière,Indemne
201600000250,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000250,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000251,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000251,Trois véhicules et plus - collisions multiples,Indemne
201600000251,Trois véhicules et plus - collisions multiples,Indemne
201600000252,Deux véhicules - par le côté,Tué
201600000252,Deux véhicules - par le côté,Indemne
201600000253,Deux véhicules - par le côté,Blessé hospitalisé
201600000253,Deux véhicules - par le côté,Indemne
201600000254,Deux véhicules - frontale,Blessé hospitalisé
201600000254,Deux véhicules - frontale,Blessé hospitalisé
201600000255,Trois véhicules et plus - collisions multiples,Indemne
201600000255,Trois véhicules et plus - collisions multiples,Indemne
201600000255,Trois véhicules et plus - collisions multiples,Blessé léger
201600000255,Trois véhicules et plus - collisions multiples,Indemne
201600000255,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000256,Deux véhicules - frontale,Blessé hospitalisé
201600000256,Deux véhicules - frontale,Blessé hospitalisé
201600000257,Deux véhicules - frontale,Indemne
201600000257,Deux véhicules - frontale,Blessé léger
201600000257,Deux véhicules - frontale,Blessé léger
201600000258,Deux véhicules - frontale,Blessé hospitalisé
201600000258,Deux véhicules - frontale,Indemne
201600000259,Sans collision,Blessé hospitalisé
201600000260,Deux véhicules - frontale,Blessé léger
201600000260,Deux véhicules - frontale,Indemne
201600000261,Deux véhicules - par le côté,Indemne
201600000261,Deux véhicules - par le côté,Indemne
201600000261,Deux véhicules - par le côté,Indemne
201600000261,Deux véhicules - par le côté,Blessé hospitalisé
201600000262,Deux véhicules - par le côté,Indemne
201600000262,Deux véhicules - par le côté,Blessé léger
201600000262,Deux véhicules - par le côté,Indemne
201600000262,Deux véhicules - par le côté,Blessé léger
201600000263,Autre collision,Indemne
201600000263,Autre collision,Blessé hospitalisé
201600000264,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000264,Deux véhicules - par l'arrière,Indemne
201600000265,Sans collision,Indemne
201600000265,Sans collision,Indemne
201600000265,Sans collision,Blessé hospitalisé
201600000266,Autre collision,Blessé léger
201600000266,Autre collision,Blessé léger
201600000267,Autre collision,Indemne
201600000267,Autre collision,Blessé hospitalisé
201600000267,Autre collision,Blessé léger
201600000268,Deux véhicules - frontale,Blessé hospitalisé
201600000268,Deux véhicules - frontale,Indemne
201600000269,Deux véhicules - par le côté,Indemne
