Num_Acc,lum,col,lat,long,weekday,catr,catv,catu,grav,sexe
201600000040,crepuscule ou aube,Autre collision,0.0,0.0,dimanche,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000041,plein jour,Deux véhicules - par le côté,0.0,0.0,vendredi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Féminin
201600000041,plein jour,Deux véhicules - par le côté,0.0,0.0,vendredi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000042,plein jour,Autre collision,0.0,0.0,mercredi,Route départementale,VU seul,Conducteur,Blessé hospitalisé,Masculin
201600000043,nuit avec eclairage public allume,Autre collision,0.0,0.0,jeudi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000044,plein jour,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000044,plein jour,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Blessé hospitalisé,Masculin
201600000045,nuit avec eclairage public allume,Autre collision,0.0,0.0,vendredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000045,nuit avec eclairage public allume,Autre collision,0.0,0.0,vendredi,Route départementale,VL seul,Piéton,Blessé hospitalisé,Féminin
201600000046,nuit sans éclairage public,Autre collision,0.0,0.0,dimanche,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000046,nuit sans éclairage public,Autre collision,0.0,0.0,dimanche,Route départementale,VL seul,Passager,Blessé hospitalisé,Masculin
201600000047,plein jour,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000047,plein jour,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,Tracteur agricole,Conducteur,Indemne,Masculin
201600000048,plein jour,Sans collision,0.0,0.0,lundi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000049,nuit avec eclairage public non allume,Sans collision,0.0,0.0,dimanche,Route départementale,Quad lourd > 50 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000050,plein jour,Deux véhicules - par le côté,0.0,0.0,jeudi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000050,plein jour,Deux véhicules - par le côté,0.0,0.0,jeudi,Route départementale,VL seul,Conducteur,Blessé léger,Masculin
201600000051,plein jour,Deux véhicules - frontale,5068000.0,279300.0,vendredi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000051,plein jour,Deux véhicules - frontale,5068000.0,279300.0,vendredi,Route départementale,VU seul,Conducteur,Indemne,Masculin
201600000052,plein jour,Deux véhicules - par le côté,5064100.0,271200.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000052,plein jour,Deux véhicules - par le côté,5064100.0,271200.0,mercredi,Route départementale,Bicyclette,Conducteur,Blessé hospitalisé,Masculin
201600000053,nuit sans éclairage public,Sans collision,0.0,0.0,vendredi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000054,plein jour,Deux véhicules - frontale,0.0,0.0,jeudi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000054,plein jour,Deux véhicules - frontale,0.0,0.0,jeudi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000054,plein jour,Deux véhicules - frontale,0.0,0.0,jeudi,Route départementale,VL seul,Passager,Blessé hospitalisé,Féminin
201600000055,plein jour,Sans collision,0.0,0.0,dimanche,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000056,crepuscule ou aube,Autre collision,5070800.0,276500.0,mardi,Route départementale,Scooter > 50 cm3 et <= 125 cm3,Piéton,Tué,Masculin
201600000056,crepuscule ou aube,Autre collision,5070800.0,276500.0,mardi,Route départementale,Scooter > 50 cm3 et <= 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000057,nuit sans éclairage public,Deux véhicules - frontale,0.0,0.0,lundi,Route départementale,VU seul,Conducteur,Indemne,Masculin
201600000057,nuit sans éclairage public,Deux véhicules - frontale,0.0,0.0,lundi,Route départementale,VU seul,Piéton,Blessé hospitalisé,Masculin
201600000057,nuit sans éclairage public,Deux véhicules - frontale,0.0,0.0,lundi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000058,nuit sans éclairage public,Autre collision,5070266.0,262094.0,jeudi,Route départementale,VL seul,Conducteur,Tué,Féminin
201600000059,plein jour,Autre collision,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000060,plein jour,Deux véhicules - par le côté,0.0,0.0,samedi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000060,plein jour,Deux véhicules - par le côté,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000061,nuit avec eclairage public allume,Autre collision,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000061,nuit avec eclairage public allume,Autre collision,0.0,0.0,mercredi,Route départementale,VL seul,Piéton,Blessé hospitalisé,Féminin
201600000062,nuit sans éclairage public,Autre collision,0.0,0.0,mercredi,Voie communale,VL seul,Conducteur,Indemne,Féminin
201600000062,nuit sans éclairage public,Autre collision,0.0,0.0,mercredi,Voie communale,Cyclomoteur,Conducteur,Blessé hospitalisé,Masculin
201600000063,plein jour,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000063,plein jour,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Passager,Blessé hospitalisé,Masculin
201600000063,plein jour,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Passager,Blessé hospitalisé,Féminin
201600000063,plein jour,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Passager,Indemne,Masculin
201600000063,plein jour,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000064,nuit sans éclairage public,Sans collision,0.0,0.0,dimanche,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000065,plein jour,Autre collision,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000066,plein jour,Deux véhicules - frontale,5078535.0,253023.0,lundi,Route départementale,PL > 3.5 T + remorque,Conducteur,Blessé hospitalisé,Masculin
201600000066,plein jour,Deux véhicules - frontale,5078535.0,253023.0,lundi,Route départementale,VU seul,Conducteur,Tué,Féminin
201600000067,plein jour,Deux véhicules - par l'arrière,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000067,plein jour,Deux véhicules - par l'arrière,0.0,0.0,mercredi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000068,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000068,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000069,plein jour,Autre collision,0.0,0.0,lundi,Voie communale,VL seul,Conducteur,Indemne,Masculin
201600000069,plein jour,Autre collision,0.0,0.0,lundi,Voie communale,VL seul,Piéton,Tué,Masculin
201600000070,plein jour,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000070,plein jour,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,Bicyclette,Conducteur,Blessé hospitalisé,Féminin
201600000071,nuit avec eclairage public allume,Deux véhicules - frontale,0.0,0.0,jeudi,Voie communale,Tracteur agricole,Conducteur,Indemne,Masculin
201600000071,nuit avec eclairage public allume,Deux véhicules - frontale,0.0,0.0,jeudi,Voie communale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000072,nuit sans éclairage public,Autre collision,0.0,0.0,mardi,Route départementale,Cyclomoteur,Conducteur,Indemne,Masculin
201600000072,nuit sans éclairage public,Autre collision,0.0,0.0,mardi,Route départementale,Cyclomoteur,Passager,Indemne,Féminin
201600000072,nuit sans éclairage public,Autre collision,0.0,0.0,mardi,Route départementale,Cyclomoteur,Piéton,Blessé hospitalisé,Masculin
201600000073,nuit avec eclairage public allume,Deux véhicules - par le côté,5060979.0,322963.0,mardi,Route départementale,Scooter < 50 cm3,Conducteur,Indemne,Féminin
201600000073,nuit avec eclairage public allume,Deux véhicules - par le côté,5060979.0,322963.0,mardi,Route départementale,Scooter < 50 cm3,Passager,Blessé hospitalisé,Féminin
201600000073,nuit avec eclairage public allume,Deux véhicules - par le côté,5060979.0,322963.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000074,nuit sans éclairage public,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Tué,Masculin
201600000075,nuit avec eclairage public allume,Deux véhicules - frontale,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000075,nuit avec eclairage public allume,Deux véhicules - frontale,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Blessé léger,Masculin
201600000076,plein jour,Deux véhicules - par l'arrière,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000076,plein jour,Deux véhicules - par l'arrière,0.0,0.0,mardi,Route départementale,Bicyclette,Conducteur,Blessé hospitalisé,Masculin
201600000077,plein jour,Deux véhicules - par le côté,0.0,0.0,jeudi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000077,plein jour,Deux véhicules - par le côté,0.0,0.0,jeudi,Route départementale,PL seul > 7.5 T,Conducteur,Indemne,Masculin
201600000078,crepuscule ou aube,Sans collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Tué,Masculin
201600000078,crepuscule ou aube,Sans collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Blessé hospitalisé,Masculin
201600000078,crepuscule ou aube,Sans collision,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Blessé léger,Masculin
201600000078,crepuscule ou aube,Sans collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Blessé léger,Masculin
201600000078,crepuscule ou aube,Sans collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Blessé léger,Masculin
201600000079,plein jour,Autre collision,0.0,0.0,dimanche,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000080,nuit sans éclairage public,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000080,nuit sans éclairage public,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Passager,Indemne,Féminin
201600000080,nuit sans éclairage public,Autre collision,0.0,0.0,samedi,Route départementale,VL seul,Piéton,Blessé hospitalisé,Masculin
201600000081,plein jour,Deux véhicules - par le côté,5074146.0,296661.0,vendredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000081,plein jour,Deux véhicules - par le côté,5074146.0,296661.0,vendredi,Route départementale,Scooter < 50 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000082,plein jour,Trois véhicules et plus - collisions multiples,0.0,0.0,dimanche,Route départementale,Motocyclette > 50 cm3 et <= 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000082,plein jour,Trois véhicules et plus - collisions multiples,0.0,0.0,dimanche,Route départementale,Cyclomoteur,Conducteur,Indemne,Masculin
201600000082,plein jour,Trois véhicules et plus - collisions multiples,0.0,0.0,dimanche,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000083,plein jour,Deux véhicules - par le côté,5071633.0,299358.0,samedi,Route départementale,Bicyclette,Conducteur,Blessé hospitalisé,Masculin
201600000083,plein jour,Deux véhicules - par le côté,5071633.0,299358.0,samedi,Route départementale,Train,Conducteur,Indemne,Masculin
201600000084,nuit sans éclairage public,Deux véhicules - par l'arrière,5071359.0,293964.0,samedi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000084,nuit sans éclairage public,Deux véhicules - par l'arrière,5071359.0,293964.0,samedi,Route départementale,Bicyclette,Conducteur,Blessé léger,Masculin
201600000085,plein jour,Autre collision,0.0,0.0,vendredi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000086,plein jour,Autre collision,0.0,0.0,samedi,Route départementale,VU seul,Conducteur,Blessé hospitalisé,Masculin
201600000087,plein jour,Deux véhicules - par l'arrière,5073736.0,295811.0,lundi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000087,plein jour,Deux véhicules - par l'arrière,5073736.0,295811.0,lundi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Féminin
201600000088,plein jour,Deux véhicules - par le côté,5071258.0,293230.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000088,plein jour,Deux véhicules - par le côté,5071258.0,293230.0,mardi,Route départementale,Scooter < 50 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000088,plein jour,Deux véhicules - par le côté,5071258.0,293230.0,mardi,Route départementale,Scooter < 50 cm3,Passager,Blessé hospitalisé,Féminin
201600000089,nuit sans éclairage public,Deux véhicules - frontale,5070937.0,294594.0,samedi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000089,nuit sans éclairage public,Deux véhicules - frontale,5070937.0,294594.0,samedi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000090,nuit avec eclairage public allume,Autre collision,5072661.0,297364.0,samedi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000091,plein jour,Sans collision,0.0,0.0,samedi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000092,plein jour,Autre collision,0.0,0.0,mardi,Route départementale,VL seul,Passager,Blessé hospitalisé,Féminin
201600000092,plein jour,Autre collision,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Blessé léger,Féminin
201600000093,nuit avec eclairage public allume,Autre collision,0.0,0.0,lundi,Route départementale,VL seul,Conducteur,Tué,Masculin
201600000094,plein jour,Deux véhicules - par le côté,0.0,0.0,samedi,Route départementale,Motocyclette > 125 cm3,Conducteur,Blessé hospitalisé,Masculin
201600000094,plein jour,Deux véhicules - par le côté,0.0,0.0,samedi,Route départementale,Tracteur agricole,Conducteur,Indemne,Masculin
201600000095,plein jour,Deux véhicules - frontale,5026022.0,332324.0,lundi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000095,plein jour,Deux véhicules - frontale,5026022.0,332324.0,lundi,Route départementale,VL seul,Passager,Indemne,Masculin
201600000095,plein jour,Deux véhicules - frontale,5026022.0,332324.0,lundi,Route départementale,VL seul,Passager,Tué,Féminin
201600000095,plein jour,Deux véhicules - frontale,5026022.0,332324.0,lundi,Route départementale,VL seul,Conducteur,Blessé hospitalisé,Masculin
201600000096,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Masculin
201600000096,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,VL seul,Passager,Blessé hospitalisé,Féminin
201600000096,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,VL seul,Passager,Blessé hospitalisé,Féminin
201600000096,nuit sans éclairage public,Deux véhicules - par le côté,0.0,0.0,mercredi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000097,plein jour,Autre collision,0.0,0.0,mardi,Route départementale,VL seul,Conducteur,Indemne,Féminin
201600000097,plein jour,Autre collision,0.0,0.0,mardi,Route départementale,VL seul,Piéton,Blessé hospitalisé,Masculin
