Num_Acc,catu,grav,sexe
201600000175,Conducteur,Indemne,Masculin
201600000176,Conducteur,Blessé hospitalisé,Masculin
201600000177,Conducteur,Blessé hospitalisé,Masculin
201600000178,Conducteur,Tué,Masculin
201600000179,Conducteur,Tué,Masculin
201600000180,Conducteur,Blessé hospitalisé,Masculin
201600000181,Conducteur,Tué,Masculin
201600000182,Conducteur,Blessé hospitalisé,Féminin
201600000182,Passager,Blessé hospitalisé,Masculin
201600000182,Conducteur,Blessé léger,Masculin
201600000183,Conducteur,Indemne,Masculin
201600000183,Conducteur,Indemne,Masculin
201600000183,Conducteur,Tué,Masculin
201600000184,Conducteur,Indemne,Masculin
201600000184,Piéton,Blessé hospitalisé,Masculin
201600000185,Conducteur,Blessé hospitalisé,Masculin
201600000185,Passager,Blessé hospitalisé,Féminin
201600000186,Conducteur,Blessé léger,Masculin
201600000186,Conducteur,Tué,Masculin
201600000187,Conducteur,Indemne,Masculin
201600000187,Piéton,Blessé hospitalisé,Masculin
201600000188,Conducteur,Blessé hospitalisé,Masculin
201600000189,Conducteur,Indemne,Masculin
201600000189,Conducteur,Blessé hospitalisé,Masculin
201600000189,Conducteur,Indemne,Masculin
201600000189,Passager,Blessé hospitalisé,Féminin
201600000190,Conducteur,Tué,Masculin
201600000190,Conducteur,Indemne,Masculin
201600000191,Conducteur,Tué,Masculin
201600000192,Conducteur,Blessé hospitalisé,Féminin
201600000192,Conducteur,Tué,Féminin
201600000193,Conducteur,Tué,Féminin
201600000193,Passager,Blessé hospitalisé,Féminin
201600000193,Passager,Blessé hospitalisé,Masculin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Masculin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Masculin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Masculin
201600000193,Passager,Blessé léger,Féminin
201600000193,Passager,Blessé léger,Féminin
201600000193,Conducteur,Blessé hospitalisé,Masculin
201600000194,Conducteur,Indemne,Masculin
201600000194,Conducteur,Blessé hospitalisé,Masculin
201600000194,Conducteur,Blessé léger,Masculin
201600000195,Conducteur,Blessé hospitalisé,Masculin
201600000196,Conducteur,Blessé hospitalisé,Masculin
201600000196,Conducteur,Indemne,Féminin
201600000196,Passager,Indemne,Masculin
201600000196,Passager,Indemne,Féminin
201600000196,Passager,Indemne,Masculin
201600000197,Conducteur,Blessé hospitalisé,Masculin
201600000197,Passager,Blessé hospitalisé,Féminin
201600000197,Conducteur,Indemne,Masculin
201600000197,Passager,Indemne,Masculin
201600000198,Passager,Indemne,Masculin
201600000198,Conducteur,Blessé hospitalisé,Masculin
201600000198,Passager,Tué,Féminin
201600000198,Conducteur,Blessé hospitalisé,Masculin
201600000198,Passager,Blessé hospitalisé,Féminin
201600000198,Passager,Blessé hospitalisé,Masculin
201600000198,Conducteur,Indemne,Masculin
201600000199,Conducteur,Blessé hospitalisé,Masculin
201600000200,Conducteur,Blessé hospitalisé,Masculin
201600000200,Passager,Blessé hospitalisé,Féminin
201600000200,Conducteur,Blessé léger,Masculin
201600000201,Conducteur,Indemne,Masculin
201600000201,Conducteur,Blessé léger,Masculin
201600000201,Passager,Blessé léger,Féminin
201600000202,Conducteur,Indemne,Masculin
201600000202,Passager,Blessé hospitalisé,Masculin
201600000202,Conducteur,Blessé léger,Masculin
201600000203,Conducteur,Blessé hospitalisé,Masculin
201600000203,Conducteur,Blessé hospitalisé,Féminin
201600000204,Conducteur,Blessé hospitalisé,Masculin
201600000204,Passager,Blessé hospitalisé,Féminin
201600000204,Conducteur,Indemne,Féminin
201600000204,Passager,Indemne,Masculin
201600000205,Conducteur,Blessé léger,Féminin
201600000205,Conducteur,Indemne,Masculin
201600000206,Conducteur,Blessé hospitalisé,Féminin
201600000206,Conducteur,Indemne,Masculin
201600000206,Passager,Indemne,Masculin
201600000207,Conducteur,Blessé hospitalisé,Masculin
201600000207,Conducteur,Indemne,Féminin
201600000208,Conducteur,Indemne,Masculin
201600000208,Conducteur,Tué,Féminin
201600000209,Conducteur,Blessé léger,Masculin
201600000210,Conducteur,Tué,Masculin
201600000211,Conducteur,Blessé léger,Féminin
201600000212,Conducteur,Blessé hospitalisé,Masculin
201600000213,Conducteur,Indemne,Masculin
201600000213,Piéton,Blessé hospitalisé,Féminin
201600000214,Conducteur,Blessé hospitalisé,Féminin
201600000214,Conducteur,Indemne,Masculin
201600000215,Passager,Blessé hospitalisé,Féminin
201600000215,Conducteur,Blessé léger,Féminin
201600000215,Passager,Blessé léger,Féminin
201600000215,Conducteur,Blessé léger,Masculin
201600000216,Conducteur,Indemne,Féminin
201600000216,Piéton,Indemne,Masculin
201600000216,Piéton,Blessé hospitalisé,Féminin
201600000216,Conducteur,Indemne,Masculin
201600000217,Conducteur,Tué,Masculin
201600000218,Conducteur,Tué,Masculin
201600000219,Conducteur,Blessé hospitalisé,Masculin
201600000220,Passager,Indemne,Masculin
201600000220,Conducteur,Blessé hospitalisé,Masculin
201600000221,Conducteur,Blessé hospitalisé,Masculin
201600000221,Conducteur,Indemne,Masculin
201600000222,Conducteur,Indemne,Féminin
201600000222,Piéton,Blessé hospitalisé,Masculin
201600000223,Conducteur,Blessé hospitalisé,Masculin
201600000223,Passager,Blessé hospitalisé,Masculin
201600000224,Conducteur,Blessé hospitalisé,Masculin
201600000224,Conducteur,Tué,Masculin
201600000224,Conducteur,Indemne,Masculin
201600000225,Conducteur,Blessé hospitalisé,Masculin
201600000226,Conducteur,Blessé hospitalisé,Masculin
201600000227,Conducteur,Blessé hospitalisé,Masculin
201600000227,Passager,Blessé hospitalisé,Féminin
201600000227,Conducteur,Indemne,Masculin
201600000228,Conducteur,Blessé léger,Masculin
201600000228,Conducteur,Indemne,Masculin
201600000228,Passager,Indemne,Féminin
201600000229,Conducteur,Indemne,Féminin
201600000229,Conducteur,Blessé hospitalisé,Masculin
201600000230,Conducteur,Blessé hospitalisé,Masculin
201600000230,Passager,Blessé léger,Masculin
201600000230,Passager,Blessé léger,Masculin
201600000231,Conducteur,Indemne,Féminin
201600000231,Conducteur,Blessé hospitalisé,Masculin
201600000232,Conducteur,Indemne,Masculin
201600000232,Conducteur,Blessé hospitalisé,Masculin
201600000233,Conducteur,Indemne,Masculin
201600000233,Conducteur,Blessé hospitalisé,Féminin
201600000234,Conducteur,Blessé hospitalisé,Masculin
201600000235,Conducteur,Blessé hospitalisé,Masculin
201600000235,Conducteur,Blessé hospitalisé,Masculin
201600000236,Conducteur,Blessé hospitalisé,Masculin
201600000236,Conducteur,Indemne,Masculin
201600000237,Conducteur,Blessé hospitalisé,Masculin
201600000237,Passager,Blessé hospitalisé,Féminin
201600000238,Conducteur,Tué,Masculin
201600000238,Passager,Blessé léger,Féminin
201600000238,Conducteur,Blessé léger,Masculin
201600000239,Passager,Tué,Féminin
201600000239,Conducteur,Blessé léger,Masculin
201600000240,Conducteur,Indemne,Masculin
201600000240,Conducteur,Indemne,Féminin
201600000240,Conducteur,Indemne,Masculin
201600000240,Conducteur,Blessé léger,Masculin
201600000241,Conducteur,Tué,Masculin
201600000241,Conducteur,Indemne,Masculin
201600000242,Conducteur,Blessé hospitalisé,Féminin
201600000242,Conducteur,Indemne,Masculin
201600000243,Conducteur,Blessé léger,Féminin
201600000244,Piéton,Blessé hospitalisé,Masculin
201600000244,Piéton,Blessé hospitalisé,Masculin
201600000244,Conducteur,Blessé léger,Féminin
201600000245,Conducteur,Blessé hospitalisé,Féminin
201600000245,Passager,Blessé hospitalisé,Masculin
201600000245,Passager,Blessé hospitalisé,Féminin
201600000245,Conducteur,Blessé léger,Masculin
201600000246,Conducteur,Blessé hospitalisé,Masculin
201600000246,Conducteur,Blessé léger,Masculin
201600000247,Conducteur,Indemne,Masculin
201600000247,Passager,Blessé hospitalisé,Féminin
201600000247,Passager,Blessé hospitalisé,Masculin
201600000248,Conducteur,Blessé léger,Masculin
201600000249,Conducteur,Indemne,Féminin
201600000249,Passager,Indemne,Féminin
201600000249,Conducteur,Indemne,Masculin
201600000249,Passager,Tué,Féminin
201600000249,Passager,Tué,Féminin
201600000249,Conducteur,Blessé hospitalisé,Masculin
201600000249,Passager,Blessé hospitalisé,Masculin
201600000249,Passager,Blessé hospitalisé,Féminin
201600000250,Conducteur,Indemne,Masculin
201600000250,Conducteur,Blessé hospitalisé,Masculin
201600000250,Passager,Blessé hospitalisé,Masculin
201600000251,Conducteur,Blessé hospitalisé,Masculin
201600000251,Conducteur,Indemne,Masculin
201600000251,Conducteur,Indemne,Masculin
201600000252,Conducteur,Tué,Masculin
201600000252,Conducteur,Indemne,Masculin
201600000253,Conducteur,Blessé hospitalisé,Masculin
201600000253,Conducteur,Indemne,Féminin
201600000254,Conducteur,Blessé hospitalisé,Féminin
201600000254,Conducteur,Blessé hospitalisé,Féminin
201600000255,Conducteur,Indemne,Masculin
201600000255,Conducteur,Indemne,Masculin
201600000255,Passager,Blessé léger,Féminin
201600000255,Conducteur,Indemne,Masculin
201600000255,Conducteur,Blessé hospitalisé,Masculin
201600000256,Conducteur,Blessé hospitalisé,Masculin
201600000256,Conducteur,Blessé hospitalisé,Masculin
201600000257,Conducteur,Indemne,Masculin
201600000257,Conducteur,Blessé léger,Masculin
201600000257,Passager,Blessé léger,Masculin
201600000258,Conducteur,Blessé hospitalisé,Masculin
201600000258,Conducteur,Indemne,Masculin
201600000259,Conducteur,Blessé hospitalisé,Masculin
201600000260,Conducteur,Blessé léger,Féminin
201600000260,Conducteur,Indemne,Masculin
201600000261,Conducteur,Indemne,Masculin
201600000261,Passager,Indemne,Masculin
201600000261,Passager,Indemne,Féminin
201600000261,Conducteur,Blessé hospitalisé,Masculin
201600000262,Conducteur,Indemne,Féminin
201600000262,Passager,Blessé léger,Masculin
201600000262,Conducteur,Indemne,Masculin
201600000262,Passager,Blessé léger,Féminin
201600000263,Passager,Indemne,Masculin
201600000263,Conducteur,Blessé hospitalisé,Masculin
201600000264,Conducteur,Blessé hospitalisé,Masculin
201600000264,Conducteur,Indemne,Masculin
201600000265,Conducteur,Indemne,Masculin
201600000265,Passager,Indemne,Masculin
201600000265,Passager,Blessé hospitalisé,Féminin
201600000266,Conducteur,Blessé léger,Masculin
201600000266,Passager,Blessé léger,Masculin
201600000267,Conducteur,Indemne,Masculin
201600000267,Piéton,Blessé hospitalisé,Féminin
201600000267,Piéton,Blessé léger,Féminin
201600000268,Conducteur,Blessé hospitalisé,Masculin
201600000268,Conducteur,Indemne,Masculin
201600000269,Conducteur,Indemne,Masculin
201600000269,Conducteur,Blessé hospitalisé,Masculin
201600000270,Conducteur,Blessé hospitalisé,Féminin
201600000270,Conducteur,Blessé léger,Féminin
201600000271,Conducteur,Indemne,Masculin
201600000271,Piéton,Blessé hospitalisé,Féminin
201600000271,Piéton,Blessé hospitalisé,Masculin
201600000272,Conducteur,Tué,Masculin
201600000272,Passager,Blessé léger,Masculin
201600000272,Conducteur,Blessé léger,Masculin
